Room_type;person_n;bedroom_n;bed_n;Price
Entire home/apt;2;1;1;$100,00 
Entire home/apt;2;1;2;$99,00 
Entire home/apt;4;4;4;$300,00 
Entire home/apt;2;1;1;$285,00 
Entire home/apt;4;4;4;$295,00 
Entire home/apt;2;1;1;$120,00 
Entire home/apt;4;3;3;$110,00 
Entire home/apt;2;1;1;$120,00 
Entire home/apt;4;1;3;$130,00 
Entire home/apt;4;4;4;$263,00 
Entire home/apt;4;2;1;$88,00 
Entire home/apt;2;1;1;$80,00 
Private room;4;1;4;$90,00 
Entire home/apt;2;1;1;$150,00 
Entire home/apt;4;3;3;$160,00 
Private room;2;1;1;$73,00 
Entire home/apt;4;3;3;$299,00 
Entire home/apt;4;3;3;$260,00 
Entire home/apt;4;2;2;$180,00 
Entire home/apt;2;;2;$160,00 
Entire home/apt;5;3;5;$399,00 
Entire home/apt;4;2;2;$250,00 
Entire home/apt;4;3;3;$250,00 
Private room;2;1;1;$108,00 
Entire home/apt;2;1;;$225,00 
Entire home/apt;3;2;2;$100,00 
Hotel room;2;1;1;$69,00 
Entire home/apt;4;2;1;$225,00 
Entire home/apt;2;1;1;$350,00 
Entire home/apt;4;1;;$155,00 
Entire home/apt;5;3;6;$500,00 
Entire home/apt;2;1;1;$101,00 
Entire home/apt;4;2;2;$175,00 
Entire home/apt;2;1;1;$130,00 
Entire home/apt;2;1;1;$120,00 
Entire home/apt;3;2;2;$99,00 
Entire home/apt;4;2;3;$175,00 
Entire home/apt;4;4;4;$400,00 
Entire home/apt;4;3;3;$193,00 
Private room;2;1;1;$64,00 
Private room;1;1;1;$59,00 
Private room;2;1;1;$140,00 
Private room;1;1;1;$111,00 
Entire home/apt;4;2;2;$135,00 
Entire home/apt;4;1;2;$175,00 
Private room;2;1;;$75,00 
Entire home/apt;4;3;5;$102,00 
Entire home/apt;4;3;1;$300,00 
Entire home/apt;4;2;2;$159,00 
Private room;4;1;;$77,00 
Private room;1;1;1;$74,00 
Private room;2;1;1;$165,00 
Entire home/apt;3;1;1;$91,00 
Private room;2;1;2;$76,00 
Entire home/apt;2;2;2;$234,00 
Entire home/apt;5;3;3;$220,00 
Entire home/apt;2;1;1;$108,00 
Private room;2;1;1;$71,00 
Shared room;1;1;3;$60,00 
Entire home/apt;4;3;4;$150,00 
Entire home/apt;4;2;2;$100,00 
Private room;2;1;1;$125,00 
Entire home/apt;4;2;2;$150,00 
Private room;2;1;1;$58,00 
Entire home/apt;2;1;;$250,00 
Entire home/apt;2;1;1;$115,00 
Private room;2;1;1;$155,00 
Private room;4;2;3;$139,00 
Entire home/apt;4;2;2;$285,00 
Entire home/apt;2;1;1;$150,00 
Private room;4;1;2;$180,00 
Entire home/apt;4;2;1;$101,00 
Private room;2;1;1;$95,00 
Entire home/apt;2;1;1;$166,00 
Entire home/apt;4;2;2;$175,00 
Private room;2;1;1;$61,00 
Entire home/apt;4;4;5;$285,00 
Private room;5;;;$75,00 
Entire home/apt;2;1;1;$103,00 
Private room;2;1;2;$117,00 
Entire home/apt;3;2;2;$264,00 
Private room;2;1;1;$86,00 
Entire home/apt;4;2;2;$251,00 
Entire home/apt;2;1;2;$210,00 
Entire home/apt;2;1;;$153,00 
Entire home/apt;2;1;1;$65,00 
Entire home/apt;2;1;1;$150,00 
Private room;2;1;2;$70,00 
Private room;2;1;1;$63,00 
Entire home/apt;4;2;3;$475,00 
Entire home/apt;2;1;1;$51,00 
Entire home/apt;4;2;2;$115,00 
Entire home/apt;4;3;3;$397,00 
Entire home/apt;3;2;2;$125,00 
Entire home/apt;3;1;2;$119,00 
Entire home/apt;2;1;1;$155,00 
Entire home/apt;2;1;2;$120,00 
Private room;2;1;1;$102,00 
Entire home/apt;6;3;4;$200,00 
Entire home/apt;4;3;3;$220,00 
Private room;3;1;2;$75,00 
Private room;2;1;1;$90,00 
Entire home/apt;6;4;4;$299,00 
Private room;2;1;1;$114,00 
Entire home/apt;4;3;4;$200,00 
Entire home/apt;4;2;3;$175,00 
Entire home/apt;4;2;2;$337,00 
Entire home/apt;2;1;1;$180,00 
Entire home/apt;2;1;1;$229,00 
Entire home/apt;4;3;4;$245,00 
Entire home/apt;4;2;2;$302,00 
Entire home/apt;2;1;1;$180,00 
Private room;2;1;1;$56,00 
Private room;2;1;1;$97,00 
Private room;2;1;;$130,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;4;2;3;$120,00 
Private room;2;1;1;$100,00 
Private room;2;1;1;$80,00 
Private room;2;1;1;$50,00 
Entire home/apt;4;1;1;$289,00 
Entire home/apt;4;4;6;$150,00 
Entire home/apt;4;3;3;$400,00 
Private room;2;1;1;$93,00 
Entire home/apt;5;4;5;$200,00 
Entire home/apt;4;2;2;$325,00 
Private room;1;1;;$61,00 
Entire home/apt;2;;1;$100,00 
Entire home/apt;2;2;1;$122,00 
Entire home/apt;2;1;1;$120,00 
Entire home/apt;2;1;1;$126,00 
Private room;2;1;1;$80,00 
Entire home/apt;2;2;2;$75,00 
Entire home/apt;2;1;;$120,00 
Entire home/apt;2;1;1;$170,00 
Entire home/apt;12;3;7;$557,00 
Entire home/apt;4;2;2;$400,00 
Private room;4;2;;$150,00 
Private room;2;1;2;$105,00 
Private room;2;1;2;$67,00 
Entire home/apt;2;;1;$135,00 
Private room;1;1;1;$136,00 
Private room;4;1;4;$95,00 
Entire home/apt;4;2;2;$200,00 
Entire home/apt;4;3;2;$164,00 
Entire home/apt;6;4;6;$130,00 
Entire home/apt;4;2;2;$230,00 
Entire home/apt;2;1;1;$175,00 
Entire home/apt;4;2;2;$279,00 
Entire home/apt;4;2;2;$149,00 
Entire home/apt;2;1;1;$150,00 
Entire home/apt;3;2;2;$130,00 
Entire home/apt;4;2;3;$275,00 
Entire home/apt;4;3;2;$350,00 
Entire home/apt;3;1;1;$75,00 
Entire home/apt;2;1;1;$115,00 
Entire home/apt;2;1;1;$195,00 
Entire home/apt;2;1;1;$135,00 
Private room;2;1;;$99,00 
Entire home/apt;2;1;;$114,00 
Private room;2;1;1;$75,00 
Private room;1;1;1;$136,00 
Entire home/apt;2;;1;$170,00 
Entire home/apt;4;1;1;$200,00 
Entire home/apt;3;1;2;$108,00 
Entire home/apt;2;1;1;$102,00 
Entire home/apt;4;2;2;$115,00 
Entire home/apt;2;1;1;$99,00 
Entire home/apt;2;1;1;$110,00 
Private room;2;1;2;$95,00 
Entire home/apt;4;3;4;$150,00 
Private room;2;1;1;$60,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;4;4;4;$143,00 
Entire home/apt;6;4;4;$466,00 
Entire home/apt;2;1;1;$90,00 
Entire home/apt;4;1;1;$190,00 
Entire home/apt;2;1;1;$150,00 
Entire home/apt;2;1;2;$175,00 
Entire home/apt;2;1;1;$180,00 
Entire home/apt;3;2;1;$125,00 
Private room;2;1;1;$52,00 
Entire home/apt;6;5;6;$800,00 
Entire home/apt;4;2;4;$125,00 
Entire home/apt;4;2;2;$160,00 
Entire home/apt;2;1;1;$179,00 
Entire home/apt;4;3;5;$160,00 
Entire home/apt;4;1;5;$329,00 
Private room;1;1;1;$43,00 
Entire home/apt;5;3;3;$522,00 
Entire home/apt;4;3;3;$150,00 
Entire home/apt;4;2;2;$250,00 
Private room;2;1;;$177,00 
Entire home/apt;3;2;2;$300,00 
Entire home/apt;2;1;1;$130,00 
Private room;2;;1;$139,00 
Entire home/apt;4;2;3;$214,00 
Private room;2;1;1;$80,00 
Entire home/apt;2;1;1;$114,00 
Entire home/apt;4;2;2;$180,00 
Entire home/apt;4;1;3;$136,00 
Entire home/apt;2;1;;$215,00 
Entire home/apt;5;4;2;$170,00 
Private room;3;1;2;$95,00 
Private room;2;1;1;$99,00 
Private room;2;1;1;$90,00 
Private room;3;1;2;$106,00 
Entire home/apt;3;1;1;$165,00 
Private room;2;1;1;$79,00 
Entire home/apt;4;1;1;$109,00 
Private room;2;1;1;$71,00 
Entire home/apt;2;1;1;$188,00 
Private room;2;1;1;$60,00 
Private room;2;1;1;$214,00 
Private room;3;1;2;$100,00 
Entire home/apt;2;1;;$200,00 
Entire home/apt;2;1;1;$99,00 
Entire home/apt;4;2;5;$213,00 
Entire home/apt;5;2;3;$234,00 
Private room;2;1;1;$73,00 
Private room;2;1;1;$69,00 
Private room;2;1;1;$89,00 
Entire home/apt;2;1;1;$136,00 
Hotel room;2;1;1;$85,00 
Entire home/apt;4;3;3;$300,00 
Hotel room;2;1;1;$98,00 
Private room;2;1;1;$135,00 
Hotel room;2;1;1;$98,00 
Hotel room;2;1;1;$98,00 
Entire home/apt;4;1;2;$125,00 
Entire home/apt;6;4;8;$239,00 
Entire home/apt;3;2;3;$150,00 
Entire home/apt;2;1;1;$155,00 
Entire home/apt;4;2;4;$275,00 
Entire home/apt;4;3;4;$215,00 
Entire home/apt;12;3;12;$288,00 
Entire home/apt;4;3;3;$275,00 
Entire home/apt;2;1;1;$114,00 
Entire home/apt;3;3;3;$189,00 
Private room;1;1;1;$82,00 
Entire home/apt;4;2;;$199,00 
Entire home/apt;4;1;4;$214,00 
Entire home/apt;2;1;1;$147,00 
Private room;2;1;1;$33,00 
Private room;3;;2;$83,00 
Private room;2;1;1;$35,00 
Entire home/apt;4;2;3;$300,00 
Private room;2;1;2;$106,00 
Entire home/apt;4;2;2;$185,00 
Entire home/apt;4;2;3;$200,00 
Entire home/apt;4;3;3;$140,00 
Private room;2;1;1;$101,00 
Entire home/apt;5;4;4;$230,00 
Entire home/apt;2;1;1;$200,00 
Private room;2;;1;$107,00 
Private room;3;1;;$87,00 
Private room;2;1;2;$63,00 
Private room;2;1;2;$68,00 
Entire home/apt;4;1;1;$180,00 
Entire home/apt;2;1;1;$85,00 
Entire home/apt;4;2;2;$120,00 
Entire home/apt;2;1;1;$150,00 
Entire home/apt;2;1;1;$260,00 
Entire home/apt;4;2;2;$200,00 
Entire home/apt;3;3;4;$200,00 
Private room;2;1;1;$65,00 
Entire home/apt;2;1;1;$155,00 
Private room;2;1;1;$111,00 
Entire home/apt;4;2;2;$160,00 
Entire home/apt;2;1;1;$110,00 
Entire home/apt;2;1;1;$500,00 
Private room;2;1;2;$86,00 
Private room;2;1;2;$66,00 
Private room;2;1;2;$63,00 
Private room;2;1;2;$76,00 
Private room;2;1;2;$68,00 
Entire home/apt;2;1;;$99,00 
Entire home/apt;2;1;1;$165,00 
Entire home/apt;2;1;1;$175,00 
Private room;2;1;1;$102,00 
Entire home/apt;4;3;;$250,00 
Entire home/apt;2;1;1;$180,00 
Private room;1;1;;$80,00 
Entire home/apt;2;;1;$89,00 
Entire home/apt;3;2;2;$125,00 
Entire home/apt;2;2;3;$120,00 
Entire home/apt;4;3;4;$175,00 
Entire home/apt;2;1;1;$80,00 
Entire home/apt;2;1;1;$120,00 
Private room;3;1;1;$158,00 
Entire home/apt;4;2;3;$199,00 
Private room;2;1;1;$95,00 
Entire home/apt;4;2;;$135,00 
Private room;2;1;1;$106,00 
Private room;2;1;1;$66,00 
Entire home/apt;4;5;4;$125,00 
Entire home/apt;4;2;3;$200,00 
Entire home/apt;3;1;1;$110,00 
Private room;2;1;1;$87,00 
Entire home/apt;2;2;3;$160,00 
Entire home/apt;4;2;3;$325,00 
Entire home/apt;2;2;3;$149,00 
Entire home/apt;4;2;5;$250,00 
Entire home/apt;4;2;2;$225,00 
Entire home/apt;4;3;3;$249,00 
Entire home/apt;2;1;2;$110,00 
Entire home/apt;4;4;4;$516,00 
