bedrooms,beds,Price,n_person
1.0,1.0,58.0,2
1.0,,250.0,2
1.0,1.0,115.0,2
1.0,1.0,155.0,2
2.0,3.0,139.0,4
2.0,2.0,285.0,4
1.0,1.0,150.0,2
1.0,2.0,180.0,4
2.0,1.0,101.0,4
1.0,1.0,95.0,2
1.0,1.0,166.0,2
2.0,2.0,175.0,4
1.0,1.0,61.0,2
4.0,5.0,285.0,4
,,75.0,5
1.0,1.0,103.0,2
1.0,2.0,117.0,2
2.0,2.0,264.0,3
1.0,1.0,86.0,2
2.0,2.0,251.0,4
1.0,2.0,210.0,2
1.0,,153.0,2
1.0,1.0,65.0,2
1.0,1.0,150.0,2
1.0,2.0,70.0,2
1.0,1.0,63.0,2
2.0,3.0,475.0,4
1.0,1.0,51.0,2
2.0,2.0,115.0,4
3.0,3.0,397.0,4
2.0,2.0,125.0,3
1.0,2.0,119.0,3
1.0,1.0,155.0,2
1.0,2.0,120.0,2
1.0,1.0,102.0,2
3.0,4.0,200.0,6
3.0,3.0,220.0,4
1.0,2.0,75.0,3
1.0,1.0,90.0,2
4.0,4.0,299.0,6
1.0,1.0,114.0,2
3.0,4.0,200.0,4
2.0,3.0,175.0,4
2.0,2.0,337.0,4
1.0,1.0,180.0,2
1.0,1.0,229.0,2
3.0,4.0,245.0,4
2.0,2.0,302.0,4
1.0,1.0,180.0,2
1.0,1.0,56.0,2
1.0,1.0,97.0,2
1.0,,130.0,2
1.0,1.0,125.0,2
2.0,3.0,120.0,4
1.0,1.0,100.0,2
1.0,1.0,80.0,2
1.0,1.0,50.0,2
1.0,1.0,289.0,4
4.0,6.0,150.0,4
3.0,3.0,400.0,4
1.0,1.0,93.0,2
4.0,5.0,200.0,5
2.0,2.0,325.0,4
1.0,,61.0,1
,1.0,100.0,2
2.0,1.0,122.0,2
1.0,1.0,120.0,2
1.0,1.0,126.0,2
1.0,1.0,80.0,2
2.0,2.0,75.0,2
1.0,,120.0,2
1.0,1.0,170.0,2
3.0,7.0,557.0,12
2.0,2.0,400.0,4
2.0,,150.0,4
1.0,2.0,105.0,2
1.0,2.0,67.0,2
,1.0,135.0,2
1.0,1.0,136.0,1
1.0,4.0,95.0,4
2.0,2.0,200.0,4
3.0,2.0,164.0,4
4.0,6.0,130.0,6
2.0,2.0,230.0,4
1.0,1.0,175.0,2
2.0,2.0,279.0,4
2.0,2.0,149.0,4
1.0,1.0,150.0,2
2.0,2.0,130.0,3
2.0,3.0,275.0,4
3.0,2.0,350.0,4
1.0,1.0,75.0,3
1.0,1.0,115.0,2
1.0,1.0,195.0,2
1.0,1.0,135.0,2
1.0,,99.0,2
1.0,,114.0,2
1.0,1.0,75.0,2
1.0,1.0,136.0,1
,1.0,170.0,2
1.0,1.0,200.0,4
1.0,2.0,108.0,3
1.0,1.0,102.0,2
2.0,2.0,115.0,4
1.0,1.0,99.0,2
1.0,1.0,110.0,2
1.0,2.0,95.0,2
3.0,4.0,150.0,4
1.0,1.0,60.0,2
1.0,1.0,125.0,2
4.0,4.0,143.0,4
4.0,4.0,466.0,6
1.0,1.0,90.0,2
1.0,1.0,190.0,4
1.0,1.0,150.0,2
1.0,2.0,175.0,2
1.0,1.0,180.0,2
2.0,1.0,125.0,3
1.0,1.0,52.0,2
5.0,6.0,800.0,6
2.0,4.0,125.0,4
2.0,2.0,160.0,4
1.0,1.0,179.0,2
3.0,5.0,160.0,4
1.0,5.0,329.0,4
1.0,1.0,43.0,1
3.0,3.0,522.0,5
3.0,3.0,150.0,4
2.0,2.0,250.0,4
1.0,,177.0,2
2.0,2.0,300.0,3
1.0,1.0,130.0,2
,1.0,139.0,2
2.0,3.0,214.0,4
1.0,1.0,80.0,2
1.0,1.0,114.0,2
2.0,2.0,180.0,4
1.0,3.0,136.0,4
1.0,,215.0,2
4.0,2.0,170.0,5
1.0,2.0,95.0,3
1.0,1.0,99.0,2
1.0,1.0,90.0,2
1.0,2.0,106.0,3
1.0,1.0,165.0,3
1.0,1.0,79.0,2
1.0,1.0,109.0,4
1.0,1.0,71.0,2
1.0,1.0,188.0,2
1.0,1.0,60.0,2
1.0,1.0,214.0,2
1.0,2.0,100.0,3
1.0,,200.0,2
1.0,1.0,99.0,2
2.0,5.0,213.0,4
2.0,3.0,234.0,5
1.0,1.0,73.0,2
1.0,1.0,69.0,2
1.0,1.0,89.0,2
1.0,1.0,136.0,2
1.0,1.0,85.0,2
3.0,3.0,300.0,4
1.0,1.0,98.0,2
1.0,1.0,135.0,2
1.0,1.0,98.0,2
1.0,1.0,98.0,2
1.0,2.0,125.0,4
4.0,8.0,239.0,6
2.0,3.0,150.0,3
1.0,1.0,155.0,2
2.0,4.0,275.0,4
3.0,4.0,215.0,4
3.0,12.0,288.0,12
3.0,3.0,275.0,4
1.0,1.0,114.0,2
3.0,3.0,189.0,3
1.0,1.0,82.0,1
2.0,,199.0,4
1.0,4.0,214.0,4
1.0,1.0,147.0,2
1.0,1.0,33.0,2
,2.0,83.0,3
1.0,1.0,35.0,2
2.0,3.0,300.0,4
1.0,2.0,106.0,2
2.0,2.0,185.0,4
2.0,3.0,200.0,4
3.0,3.0,140.0,4
1.0,1.0,101.0,2
4.0,4.0,230.0,5
1.0,1.0,200.0,2
,1.0,107.0,2
1.0,,87.0,3
1.0,2.0,63.0,2
1.0,2.0,68.0,2
1.0,1.0,180.0,4
1.0,1.0,85.0,2
2.0,2.0,120.0,4
1.0,1.0,150.0,2
1.0,1.0,260.0,2
2.0,2.0,200.0,4
3.0,4.0,200.0,3
1.0,1.0,65.0,2
1.0,1.0,155.0,2
1.0,1.0,111.0,2
2.0,2.0,160.0,4
1.0,1.0,110.0,2
1.0,1.0,500.0,2
1.0,2.0,86.0,2
1.0,2.0,66.0,2
1.0,2.0,63.0,2
1.0,2.0,76.0,2
1.0,2.0,68.0,2
1.0,,99.0,2
1.0,1.0,165.0,2
1.0,1.0,175.0,2
1.0,1.0,102.0,2
3.0,,250.0,4
1.0,1.0,180.0,2
1.0,,80.0,1
,1.0,89.0,2
2.0,2.0,125.0,3
2.0,3.0,120.0,2
3.0,4.0,175.0,4
1.0,1.0,80.0,2
1.0,1.0,120.0,2
1.0,1.0,158.0,3
2.0,3.0,199.0,4
1.0,1.0,95.0,2
2.0,,135.0,4
1.0,1.0,106.0,2
1.0,1.0,66.0,2
5.0,4.0,125.0,4
2.0,3.0,200.0,4
1.0,1.0,110.0,3
1.0,1.0,87.0,2
2.0,3.0,160.0,2
2.0,3.0,325.0,4
2.0,3.0,149.0,2
2.0,5.0,250.0,4
2.0,2.0,225.0,4
3.0,3.0,249.0,4
1.0,2.0,110.0,2
4.0,4.0,516.0,4
1.0,3.0,80.0,2
1.0,4.0,181.0,4
1.0,2.0,80.0,4
2.0,2.0,250.0,4
